Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
189,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,22.0,2003,15.5,,17,,,,,,,,,,6,,,,Matches
190,Fabio Baldé,pt POR,FW,Hamburger SV,de Bundesliga,20.0,2005,3.4,,4,,,,,,,,,,0,,,,Matches
191,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,22.0,2004,13.1,,15,,,,,,,,,,22,,,,Matches
192,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,27.0,1999,13.1,,16,,,,,,,,,,15,,,,Matches
193,Daniel Ballard,nir NIR,DF,Sunderland,eng Premier League,26.0,1999,18.6,,14,,,,,,,,,,15,,,,Matches
194,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,34.0,1992,2.8,,4,,,,,,,,,,3,,,,Matches
195,Fodé Ballo-Touré,sn SEN,"DF,MF",Metz,fr Ligue 1,29.0,1997,7.7,,15,,,,,,,,,,5,,,,Matches
196,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,24.0,2001,13.8,,6,,,,,,,,,,3,,,,Matches
197,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,35.0,1990,1.1,,1,,,,,,,,,,2,,,,Matches
198,Aladji Bamba,fr FRA,MF,Monaco,fr Ligue 1,19.0,2006,2.4,,7,,,,,,,,,,4,,,,Matches
199,Mohamed Bamba,ci CIV,FW,Lorient,fr Ligue 1,24.0,2001,7.6,,2,,,,,,,,,,2,,,,Matches
200,Lameck Banda,zm ZAM,"MF,FW",Lecce,it Serie A,25.0,2001,9.8,,10,,,,,,,,,,6,,,,Matches
201,Noahkai Banks,us USA,DF,Augsburg,de Bundesliga,19.0,2006,15.4,,24,,,,,,,,,,14,,,,Matches
202,Ezechiel Banzuzi,nl NED,MF,RB Leipzig,de Bundesliga,21.0,2005,4.6,,10,,,,,,,,,,4,,,,Matches
