Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
2131,Javier Rueda Garcia,es ESP,MF,Celta Vigo,es La Liga,23.0,2002,9.7,,8,,,,,,,,,,12,,,,Matches
2132,Daniele Rugani,it ITA,DF,Juventus,it Serie A,31.0,1994,2.8,,3,,,,,,,,,,5,,,,Matches
2133,Matteo Ruggeri,it ITA,DF,Atlético Madrid,es La Liga,23.0,2002,11.7,,19,,,,,,,,,,10,,,,Matches
2134,Aitor Ruibal,es ESP,"DF,MF",Real Betis,es La Liga,29.0,1996,13.2,,16,,,,,,,,,,14,,,,Matches
2135,Abel Ruiz,es ESP,FW,Girona,es La Liga,26.0,2000,0.4,,1,,,,,,,,,,1,,,,Matches
2136,Fabián Ruiz Peña,es ESP,MF,Paris Saint-Germain,fr Ligue 1,29.0,1996,8.8,,6,,,,,,,,,,10,,,,Matches
2137,Gerónimo Rulli,ar ARG,GK,Marseille,fr Ligue 1,33.0,1992,18.0,,0,,,,,,,,,,0,,,,Matches
2138,Jacen Russell-Rowe,ca CAN,FW,Toulouse,fr Ligue 1,23.0,2002,0.5,,0,,,,,,,,,,0,,,,Matches
2139,Georginio Rutter,fr FRA,"MF,FW",Brighton,eng Premier League,23.0,2002,16.7,,13,,,,,,,,,,8,,,,Matches
2140,Mathew Ryan,au AUS,GK,Levante,es La Liga,33.0,1992,21.0,,1,,,,,,,,,,1,,,,Matches
2141,Julian Ryerson,no NOR,MF,Dortmund,de Bundesliga,28.0,1997,14.8,,16,,,,,,,,,,8,,,,Matches
2142,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,33.0,1992,22.0,,1,,,,,,,,,,0,,,,Matches
2143,Alexander Røssing-Lelesiit,no NOR,"FW,MF",Hamburger SV,de Bundesliga,19.0,2007,3.6,,2,,,,,,,,,,1,,,,Matches
2144,José Sá,pt POR,GK,Wolves,eng Premier League,33.0,1993,14.0,,0,,,,,,,,,,0,,,,Matches
2145,Elias Saad,tn TUN,"MF,FW",Augsburg,de Bundesliga,26.0,1999,5.5,,8,,,,,,,,,,1,,,,Matches
2146,Stefano Sabelli,it ITA,"DF,MF",Genoa,it Serie A,33.0,1993,3.8,,8,,,,,,,,,,2,,,,Matches
2147,Abdelhamid Sabiri,ma MAR,MF,Fiorentina,it Serie A,29.0,1996,0.3,,2,,,,,,,,,,0,,,,Matches
2148,Marcel Sabitzer,at AUT,MF,Dortmund,de Bundesliga,31.0,1994,10.4,,7,,,,,,,,,,12,,,,Matches
2149,Noah Sadiki,cd COD,MF,Sunderland,eng Premier League,21.0,2004,20.5,,17,,,,,,,,,,25,,,,Matches
2150,Umar Sadiq,ng NGA,FW,Valencia,es La Liga,29.0,1997,1.6,,0,,,,,,,,,,0,,,,Matches
2151,Umar Sadiq,ng NGA,FW,Real Sociedad,es La Liga,29.0,1997,1.7,,0,,,,,,,,,,0,,,,Matches
2152,Alexis Saelemaekers,be BEL,MF,Milan,it Serie A,26.0,1999,20.4,,27,,,,,,,,,,20,,,,Matches
2153,Matvei Safonov,ru RUS,GK,Paris Saint-Germain,fr Ligue 1,26.0,1999,5.0,,0,,,,,,,,,,0,,,,Matches
2154,Emir Sahiti,xk KVX,FW,Hamburger SV,de Bundesliga,27.0,1998,1.3,,0,,,,,,,,,,0,,,,Matches
2155,Osame Sahraoui,ma MAR,MF,Lille,fr Ligue 1,24.0,2001,5.1,,3,,,,,,,,,,4,,,,Matches
2156,Wesley Saïd,fr FRA,MF,Lens,fr Ligue 1,30.0,1995,17.0,,13,,,,,,,,,,8,,,,Matches
2157,Allan Saint-Maximin,fr FRA,"FW,MF",Lens,fr Ligue 1,28.0,1997,0.6,,0,,,,,,,,,,0,,,,Matches
2158,Bukayo Saka,eng ENG,"FW,MF",Arsenal,eng Premier League,24.0,2001,17.4,,11,,,,,,,,,,6,,,,Matches
2159,Mathis Saka,fr FRA,FW,Toulouse,fr Ligue 1,19.0,2006,0.1,,0,,,,,,,,,,0,,,,Matches
2160,Álex Sala,es ESP,MF,Lecce,it Serie A,24.0,2001,1.7,,2,,,,,,,,,,3,,,,Matches
2161,Ibrahim Salah,ma MAR,FW,Rennes,fr Ligue 1,24.0,2001,0.4,,1,,,,,,,,,,0,,,,Matches
2162,Mohamed Salah,eg EGY,"MF,FW",Liverpool,eng Premier League,33.0,1992,17.1,,5,,,,,,,,,,2,,,,Matches
2163,Jan Salas,es ESP,MF,Mallorca,es La Liga,20.0,2005,0.2,,0,,,,,,,,,,0,,,,Matches
2164,Kike Salas,es ESP,DF,Sevilla,es La Liga,23.0,2002,11.5,,15,,,,,,,,,,21,,,,Matches
2165,Manolis Saliakas,gr GRE,MF,St Pauli,de Bundesliga,29.0,1996,8.8,,14,,,,,,,,,,10,,,,Matches
2166,William Saliba,fr FRA,DF,Arsenal,eng Premier League,24.0,2001,19.0,,9,,,,,,,,,,10,,,,Matches
2167,José Salinas,es ESP,DF,Espanyol,es La Liga,25.0,2000,2.6,,2,,,,,,,,,,2,,,,Matches
2168,Mohammed Salisu,gh GHA,DF,Monaco,fr Ligue 1,26.0,1999,12.0,,11,,,,,,,,,,19,,,,Matches
2169,Lazar Samardzic,rs SRB,MF,Atalanta,it Serie A,23.0,2002,7.7,,3,,,,,,,,,,4,,,,Matches
2170,Mbwana Samatta,tz TAN,FW,Le Havre,fr Ligue 1,33.0,1992,9.5,,3,,,,,,,,,,3,,,,Matches
2171,Mama Samba Baldé,gw GNB,"FW,MF",Brest,fr Ligue 1,30.0,1995,7.1,,6,,,,,,,,,,3,,,,Matches
2172,Brice Samba,fr FRA,GK,Rennes,fr Ligue 1,31.0,1994,21.0,,0,,,,,,,,,,0,,,,Matches
2173,Albert Sambi Lokonga,be BEL,MF,Hamburger SV,de Bundesliga,26.0,1999,11.7,,7,,,,,,,,,,9,,,,Matches
2174,Antonio Sanabria,py PAR,FW,Cremonese,it Serie A,29.0,1996,6.8,,1,,,,,,,,,,1,,,,Matches
2175,Oihan Sancet,es ESP,MF,Athletic Club,es La Liga,25.0,2000,12.7,,5,,,,,,,,,,2,,,,Matches
2176,Álex Sánchez,es ESP,FW,Elche,es La Liga,19.0,2006,0.1,,1,,,,,,,,,,0,,,,Matches
2177,Alexis Sánchez,cl CHI,"FW,MF",Sevilla,es La Liga,37.0,1988,8.7,,7,,,,,,,,,,4,,,,Matches
2178,Antonio Sánchez,es ESP,MF,Mallorca,es La Liga,29.0,1997,8.7,,7,,,,,,,,,,11,,,,Matches
2179,Juanlu Sánchez,es ESP,"MF,DF",Sevilla,es La Liga,22.0,2003,14.8,,26,,,,,,,,,,7,,,,Matches
2180,Borja Sánchez Laborde,es ESP,MF,Oviedo,es La Liga,29.0,1996,0.2,,0,,,,,,,,,,0,,,,Matches
2181,Manu Sánchez,es ESP,DF,Levante,es La Liga,25.0,2000,19.1,,35,,,,,,,,,,24,,,,Matches
2182,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,28.0,1997,24.0,,0,,,,,,,,,,1,,,,Matches
2183,Selton Sánchez,es ESP,MF,Athletic Club,es La Liga,18.0,2007,1.6,,1,,,,,,,,,,1,,,,Matches
2184,Jadon Sancho,eng ENG,MF,Aston Villa,eng Premier League,25.0,2000,6.4,,1,,,,,,,,,,2,,,,Matches
2185,Álex Sancris,es ESP,"MF,FW",Getafe,es La Liga,29.0,1997,7.0,,5,,,,,,,,,,2,,,,Matches
2186,Philipp Sander,de GER,"DF,MF",Gladbach,de Bundesliga,27.0,1998,15.2,,28,,,,,,,,,,26,,,,Matches
2187,James Sands,us USA,MF,St Pauli,de Bundesliga,25.0,2000,19.5,,20,,,,,,,,,,37,,,,Matches
2188,Ibou Sané,sn SEN,"FW,MF",Metz,fr Ligue 1,20.0,2005,6.0,,3,,,,,,,,,,1,,,,Matches
2189,Sadibou Sané,sn SEN,DF,Metz,fr Ligue 1,21.0,2004,9.6,,14,,,,,,,,,,15,,,,Matches
2190,Arouna Sangante,sn SEN,DF,Le Havre,fr Ligue 1,23.0,2002,18.1,,13,,,,,,,,,,20,,,,Matches
2191,Ibrahim Sangaré,ci CIV,MF,Nottingham Forest,eng Premier League,28.0,1997,14.6,,20,,,,,,,,,,13,,,,Matches
2192,Mamadou Sangare,ml MLI,MF,Lens,fr Ligue 1,23.0,2002,17.5,,42,,,,,,,,,,26,,,,Matches
2193,Nhoa Sangui,fr FRA,"DF,MF",Paris FC,fr Ligue 1,19.0,2006,10.1,,8,,,,,,,,,,6,,,,Matches
2194,Maroan Sannadi,ma MAR,FW,Athletic Club,es La Liga,25.0,2001,2.9,,0,,,,,,,,,,1,,,,Matches
2195,Kaishu Sano,jp JPN,MF,Mainz 05,de Bundesliga,25.0,2000,22.0,,23,,,,,,,,,,50,,,,Matches
2196,Morgan Sanson,fr FRA,MF,Nice,fr Ligue 1,31.0,1994,10.0,,13,,,,,,,,,,11,,,,Matches
2197,Baptiste Santamaria,fr FRA,MF,Valencia,es La Liga,30.0,1995,8.4,,5,,,,,,,,,,8,,,,Matches
2198,Yago Santiago,es ESP,MF,Elche,es La Liga,22.0,2003,3.0,,1,,,,,,,,,,1,,,,Matches
2199,Yellu Santiago,es ESP,MF,Hellas Verona,it Serie A,21.0,2004,0.1,,0,,,,,,,,,,0,,,,Matches
2200,Alisson Santos,br BRA,MF,Napoli,it Serie A,23.0,2002,0.2,,0,,,,,,,,,,0,,,,Matches
2201,Andrey Santos,br BRA,MF,Chelsea,eng Premier League,21.0,2004,8.9,,12,,,,,,,,,,15,,,,Matches
2202,Kauã Santos,br BRA,GK,Eintracht Frankfurt,de Bundesliga,22.0,2003,11.0,,1,,,,,,,,,,0,,,,Matches
2203,Tiago Santos,pt POR,DF,Lille,fr Ligue 1,23.0,2002,5.1,,4,,,,,,,,,,1,,,,Matches
2204,Alejo Sarco,ar ARG,FW,Gladbach,de Bundesliga,20.0,2006,0.5,,0,,,,,,,,,,0,,,,Matches
2205,Alejo Sarco,ar ARG,FW,Leverkusen,de Bundesliga,20.0,2006,0.8,,0,,,,,,,,,,0,,,,Matches
2206,Jeremy Sarmiento,ec ECU,MF,Cremonese,it Serie A,23.0,2002,1.6,,2,,,,,,,,,,2,,,,Matches
2207,Amin Sarr,se SWE,"FW,MF",Hellas Verona,it Serie A,24.0,2001,9.2,,8,,,,,,,,,,4,,,,Matches
2208,Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,eng Premier League,27.0,1998,15.2,,6,,,,,,,,,,6,,,,Matches
2209,Malang Sarr,fr FRA,DF,Lens,fr Ligue 1,27.0,1999,21.0,,30,,,,,,,,,,51,,,,Matches
2210,Mamadou Sarr,sn SEN,DF,Strasbourg,fr Ligue 1,20.0,2005,14.5,,13,,,,,,,,,,5,,,,Matches
2211,Martin Satriano,uy URU,FW,Getafe,es La Liga,24.0,2001,4.8,,3,,,,,,,,,,4,,,,Matches
2212,Martin Satriano,uy URU,FW,Lyon,fr Ligue 1,24.0,2001,7.7,,3,,,,,,,,,,5,,,,Matches
2213,Mario Sauer,sk SVK,MF,Toulouse,fr Ligue 1,21.0,2004,6.1,,6,,,,,,,,,,8,,,,Matches
2214,Razvan Sava,ro ROU,GK,Udinese,it Serie A,23.0,2002,6.9,,0,,,,,,,,,,0,,,,Matches
2215,Sávio,br BRA,MF,Manchester City,eng Premier League,21.0,2004,6.0,,2,,,,,,,,,,5,,,,Matches
2216,Nicolò Savona,it ITA,DF,Nottingham Forest,eng Premier League,22.0,2003,11.4,,12,,,,,,,,,,5,,,,Matches
2217,Joe Scally,us USA,"DF,MF",Gladbach,de Bundesliga,23.0,2002,17.2,,16,,,,,,,,,,13,,,,Matches
2218,Giorgio Scalvini,it ITA,DF,Atalanta,it Serie A,22.0,2003,9.6,,10,,,,,,,,,,15,,,,Matches
2219,Gianluca Scamacca,it ITA,FW,Atalanta,it Serie A,27.0,1999,10.2,,3,,,,,,,,,,3,,,,Matches
2220,Oliver Scarles,eng ENG,"DF,MF",West Ham United,eng Premier League,20.0,2005,7.3,,18,,,,,,,,,,13,,,,Matches
2221,Dane Scarlett,eng ENG,FW,Tottenham Hotspur,eng Premier League,21.0,2004,0.1,,0,,,,,,,,,,0,,,,Matches
2222,Kevin Schade,de GER,"MF,FW",Brentford,eng Premier League,24.0,2001,20.6,,18,,,,,,,,,,18,,,,Matches
2223,András Schäfer,hu HUN,MF,Union Berlin,de Bundesliga,26.0,1999,8.8,,14,,,,,,,,,,12,,,,Matches
2224,Fabian Schär,ch SUI,DF,Newcastle United,eng Premier League,34.0,1991,12.1,,9,,,,,,,,,,16,,,,Matches
2225,Fynn Schenten,de GER,FW,Köln,de Bundesliga,18.0,2007,1.0,,0,,,,,,,,,,0,,,,Matches
2226,Derry Scherhant,de GER,MF,Freiburg,de Bundesliga,23.0,2002,7.8,,5,,,,,,,,,,1,,,,Matches
2227,Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,30.0,1996,13.2,,2,,,,,,,,,,1,,,,Matches
2228,Stefan Schimmer,de GER,FW,Heidenheim,de Bundesliga,31.0,1994,6.6,,2,,,,,,,,,,3,,,,Matches
2229,Xaver Schlager,at AUT,MF,RB Leipzig,de Bundesliga,28.0,1997,13.8,,14,,,,,,,,,,6,,,,Matches
2230,Keven Schlotterbeck,de GER,DF,Augsburg,de Bundesliga,28.0,1997,16.4,,16,,,,,,,,,,16,,,,Matches
2231,Nico Schlotterbeck,de GER,DF,Dortmund,de Bundesliga,26.0,1999,17.0,,27,,,,,,,,,,11,,,,Matches
2232,Romano Schmid,at AUT,"MF,FW",Werder Bremen,de Bundesliga,26.0,2000,21.4,,17,,,,,,,,,,8,,,,Matches
2233,Isaac Schmidt,ch SUI,MF,Werder Bremen,de Bundesliga,26.0,1999,5.2,,7,,,,,,,,,,8,,,,Matches
2234,Joël Schmied,ch SUI,DF,Köln,de Bundesliga,27.0,1998,9.6,,8,,,,,,,,,,9,,,,Matches
2235,Jan Schöppner,de GER,MF,Heidenheim,de Bundesliga,26.0,1999,15.8,,8,,,,,,,,,,22,,,,Matches
2236,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,30.0,1995,22.0,,1,,,,,,,,,,2,,,,Matches
2237,Léo Scienza,br BRA,MF,Heidenheim,de Bundesliga,27.0,1998,2.0,,2,,,,,,,,,,0,,,,Matches
2238,Alex Scott,eng ENG,MF,Bournemouth,eng Premier League,22.0,2003,20.7,,21,,,,,,,,,,26,,,,Matches
2239,Simone Scuffet,it ITA,GK,Pisa,it Serie A,29.0,1996,7.0,,0,,,,,,,,,,0,,,,Matches
2240,Sebastian Sebulonsen,no NOR,"DF,MF",Köln,de Bundesliga,26.0,2000,20.0,,18,,,,,,,,,,13,,,,Matches
2241,Jenson Seelt,nl NED,DF,Sunderland,eng Premier League,22.0,2003,1.5,,0,,,,,,,,,,0,,,,Matches
2242,Jenson Seelt,nl NED,DF,Wolfsburg,de Bundesliga,22.0,2003,7.6,,9,,,,,,,,,,5,,,,Matches
2243,Alidu Seidu,gh GHA,DF,Rennes,fr Ligue 1,25.0,2000,9.1,,18,,,,,,,,,,14,,,,Matches
2244,Nicolas Seiwald,at AUT,MF,RB Leipzig,de Bundesliga,24.0,2001,20.5,,24,,,,,,,,,,49,,,,Matches
2245,Ayumu Seko,jp JPN,"MF,DF",Le Havre,fr Ligue 1,25.0,2000,19.2,,18,,,,,,,,,,21,,,,Matches
2246,Matz Sels,be BEL,GK,Nottingham Forest,eng Premier League,33.0,1992,18.6,,1,,,,,,,,,,0,,,,Matches
2247,Antoine Semenyo,gh GHA,MF,Bournemouth,eng Premier League,26.0,2000,20.0,,20,,,,,,,,,,6,,,,Matches
2248,Antoine Semenyo,gh GHA,"MF,FW",Manchester City,eng Premier League,26.0,2000,5.0,,3,,,,,,,,,,2,,,,Matches
2249,Adrian Šemper,hr CRO,GK,Pisa,it Serie A,28.0,1998,17.0,,0,,,,,,,,,,0,,,,Matches
2250,Marvin Senaya,tg TOG,"DF,MF",Auxerre,fr Ligue 1,25.0,2001,14.5,,17,,,,,,,,,,23,,,,Matches
2251,Marcos Senesi,ar ARG,DF,Bournemouth,eng Premier League,28.0,1997,24.5,,24,,,,,,,,,,35,,,,Matches
2252,Suat Serdar,de GER,MF,Hellas Verona,it Serie A,28.0,1997,12.3,,20,,,,,,,,,,10,,,,Matches
2253,Nicolás Serrano,es ESP,MF,Athletic Club,es La Liga,22.0,2003,3.5,,4,,,,,,,,,,2,,,,Matches
2254,Benjamin Šeško,si SVN,FW,Manchester Utd,eng Premier League,22.0,2003,12.3,,3,,,,,,,,,,3,,,,Matches
2255,Ryan Sessegnon,eng ENG,"DF,MF",Fulham,eng Premier League,25.0,2000,15.8,,19,,,,,,,,,,16,,,,Matches
2256,Stephan El Shaarawy,it ITA,"MF,FW",Roma,it Serie A,33.0,1992,4.3,,4,,,,,,,,,,4,,,,Matches
2257,Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,30.0,1995,25.1,,29,,,,,,,,,,28,,,,Matches
2258,Kento Shiogai,jp JPN,MF,Wolfsburg,de Bundesliga,20.0,2005,1.9,,1,,,,,,,,,,2,,,,Matches
2259,Kwasi Sibo,gh GHA,MF,Oviedo,es La Liga,27.0,1998,9.5,,11,,,,,,,,,,6,,,,Matches
2260,Djibril Sidibé,fr FRA,"MF,DF",Toulouse,fr Ligue 1,33.0,1992,16.9,,26,,,,,,,,,,8,,,,Matches
2261,Armindo Sieb,de GER,FW,Mainz 05,de Bundesliga,22.0,2003,4.9,,4,,,,,,,,,,0,,,,Matches
2262,Jamil Siebert,de GER,DF,Lecce,it Serie A,23.0,2002,5.9,,5,,,,,,,,,,2,,,,Matches
2263,Francisco Sierralta,cl CHI,DF,Auxerre,fr Ligue 1,28.0,1997,9.6,,6,,,,,,,,,,9,,,,Matches
2264,Tim Siersleben,de GER,DF,Heidenheim,de Bundesliga,25.0,2000,11.2,,16,,,,,,,,,,19,,,,Matches
2265,Mathys Silestrie,fr FRA,GK,Rennes,fr Ligue 1,20.0,2005,1.0,,0,,,,,,,,,,0,,,,Matches
2266,André Silva,pt POR,FW,Elche,es La Liga,30.0,1995,11.4,,2,,,,,,,,,,2,,,,Matches
2267,Bernardo Silva,pt POR,MF,Manchester City,eng Premier League,31.0,1994,21.1,,13,,,,,,,,,,15,,,,Matches
2268,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,fr Ligue 1,28.0,1997,14.9,,8,,,,,,,,,,11,,,,Matches
2269,Fábio Silva,pt POR,"MF,FW",Dortmund,de Bundesliga,23.0,2002,5.1,,1,,,,,,,,,,2,,,,Matches
2270,Jota Silva,pt POR,FW,Nottingham Forest,eng Premier League,26.0,1999,0.1,,1,,,,,,,,,,0,,,,Matches
2271,Marco Silvestri,it ITA,GK,Cremonese,it Serie A,34.0,1991,4.0,,0,,,,,,,,,,0,,,,Matches
2272,Abdallah Sima,sn SEN,MF,Lens,fr Ligue 1,24.0,2001,2.5,,3,,,,,,,,,,0,,,,Matches
2273,Giovanni Simeone,ar ARG,FW,Torino,it Serie A,30.0,1995,13.3,,5,,,,,,,,,,0,,,,Matches
2274,Giuliano Simeone,ar ARG,MF,Atlético Madrid,es La Liga,23.0,2002,17.7,,19,,,,,,,,,,16,,,,Matches
2275,Moses Simon,ng NGA,"MF,FW",Paris FC,fr Ligue 1,30.0,1995,14.4,,7,,,,,,,,,,7,,,,Matches
2276,Unai Simón,es ESP,GK,Athletic Club,es La Liga,28.0,1997,24.0,,0,,,,,,,,,,0,,,,Matches
2277,Xavi Simons,nl NED,"MF,FW",Tottenham Hotspur,eng Premier League,22.0,2003,15.3,,16,,,,,,,,,,14,,,,Matches
2278,Xavi Simons,nl NED,MF,RB Leipzig,de Bundesliga,22.0,2003,1.0,,0,,,,,,,,,,1,,,,Matches
2279,Jahmai Simpson-Pusey,eng ENG,DF,Köln,de Bundesliga,20.0,2005,3.0,,3,,,,,,,,,,6,,,,Matches
2280,Danel Sinani,lu LUX,MF,St Pauli,de Bundesliga,28.0,1997,13.5,,11,,,,,,,,,,5,,,,Matches
2281,Lassine Sinayoko,ml MLI,"FW,MF",Auxerre,fr Ligue 1,26.0,1999,20.0,,16,,,,,,,,,,18,,,,Matches
2282,Ibrahima Sissoko,ml MLI,"MF,DF",Nantes,fr Ligue 1,28.0,1997,2.7,,3,,,,,,,,,,1,,,,Matches
2283,Antonio Sivera,es ESP,GK,Alavés,es La Liga,29.0,1996,24.0,,1,,,,,,,,,,0,,,,Matches
2284,Telli Siwe,fr FRA,DF,Auxerre,fr Ligue 1,21.0,2004,2.5,,3,,,,,,,,,,4,,,,Matches
2285,Tim Skarke,de GER,MF,Union Berlin,de Bundesliga,29.0,1996,4.3,,1,,,,,,,,,,0,,,,Matches
2286,Ellyes Skhiri,tn TUN,MF,Eintracht Frankfurt,de Bundesliga,30.0,1995,10.4,,2,,,,,,,,,,17,,,,Matches
2287,Leo Skiri Østigård,no NOR,DF,Genoa,it Serie A,26.0,1999,18.1,,17,,,,,,,,,,11,,,,Matches
2288,Laurs Skjellerup,dk DEN,MF,Sassuolo,it Serie A,23.0,2002,0.1,,0,,,,,,,,,,0,,,,Matches
2289,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,34.0,1991,11.7,,0,,,,,,,,,,0,,,,Matches
2290,Andreas Skov Olsen,dk DEN,MF,Wolfsburg,de Bundesliga,26.0,1999,4.0,,1,,,,,,,,,,1,,,,Matches
2291,Robert Skov,dk DEN,"DF,MF",Union Berlin,de Bundesliga,29.0,1996,2.4,,5,,,,,,,,,,2,,,,Matches
2292,Tobias Slotsager,dk DEN,DF,Hellas Verona,it Serie A,20.0,2006,4.6,,6,,,,,,,,,,3,,,,Matches
2293,Adam Smith,eng ENG,DF,Bournemouth,eng Premier League,34.0,1991,8.1,,5,,,,,,,,,,7,,,,Matches
2294,Eric Smith,se SWE,"DF,MF",St Pauli,de Bundesliga,29.0,1997,18.5,,13,,,,,,,,,,18,,,,Matches
2295,Emile Smith Rowe,eng ENG,MF,Fulham,eng Premier League,25.0,2000,14.1,,14,,,,,,,,,,17,,,,Matches
2296,Ivan Smolčić,hr CRO,DF,Como,it Serie A,25.0,2000,11.0,,16,,,,,,,,,,15,,,,Matches
2297,Simon Sohm,ch SUI,MF,Bologna,it Serie A,24.0,2001,1.2,,0,,,,,,,,,,0,,,,Matches
2298,Simon Sohm,ch SUI,MF,Fiorentina,it Serie A,24.0,2001,7.9,,7,,,,,,,,,,6,,,,Matches
2299,Alex Sola,es ESP,"DF,MF",Getafe,es La Liga,26.0,1999,0.1,,0,,,,,,,,,,0,,,,Matches
2300,Dominic Solanke,eng ENG,FW,Tottenham Hotspur,eng Premier League,28.0,1997,4.6,,7,,,,,,,,,,1,,,,Matches
2301,Carlos Soler,es ESP,MF,Real Sociedad,es La Liga,29.0,1997,14.3,,13,,,,,,,,,,9,,,,Matches
2302,Julio Soler,ar ARG,DF,Bournemouth,eng Premier League,21.0,2005,0.4,,0,,,,,,,,,,0,,,,Matches
2303,Oumar Solet,fr FRA,DF,Udinese,it Serie A,26.0,2000,23.8,,36,,,,,,,,,,35,,,,Matches
2304,Jhon Solis,co COL,MF,Girona,es La Liga,21.0,2004,4.2,,3,,,,,,,,,,4,,,,Matches
2305,Manor Solomon,il ISR,"MF,FW",Fiorentina,it Serie A,26.0,1999,4.4,,5,,,,,,,,,,0,,,,Matches
2306,Manor Solomon,il ISR,MF,Villarreal,es La Liga,26.0,1999,1.7,,1,,,,,,,,,,0,,,,Matches
2307,Hugo Solozabal,es ESP,MF,Getafe,es La Liga,23.0,2003,0.1,,0,,,,,,,,,,0,,,,Matches
2308,Daniele Sommariva,it ITA,GK,Genoa,it Serie A,28.0,1997,2.0,,0,,,,,,,,,,0,,,,Matches
2309,Yann Sommer,ch SUI,GK,Inter,it Serie A,37.0,1988,23.0,,0,,,,,,,,,,0,,,,Matches
2310,Oliver Sonne,pe PER,DF,Burnley,eng Premier League,25.0,2000,1.9,,1,,,,,,,,,,1,,,,Matches
2311,David Soria,es ESP,GK,Getafe,es La Liga,32.0,1993,24.0,,0,,,,,,,,,,0,,,,Matches
2312,Borna Sosa,hr CRO,"DF,MF",Crystal Palace,eng Premier League,28.0,1998,0.6,,0,,,,,,,,,,1,,,,Matches
2313,Hugo Sotelo,es ESP,MF,Celta Vigo,es La Liga,22.0,2003,10.1,,10,,,,,,,,,,12,,,,Matches
2314,Florian Sotoca,fr FRA,"FW,MF",Lens,fr Ligue 1,35.0,1990,1.2,,0,,,,,,,,,,3,,,,Matches
2315,Riccardo Sottil,it ITA,"MF,FW",Lecce,it Serie A,26.0,1999,10.1,,2,,,,,,,,,,2,,,,Matches
2316,Tomáš Souček,cz CZE,MF,West Ham United,eng Premier League,30.0,1995,13.1,,11,,,,,,,,,,11,,,,Matches
2317,Matìas Soulé,ar ARG,"MF,FW",Roma,it Serie A,22.0,2003,18.6,,11,,,,,,,,,,9,,,,Matches
2318,Aboubaka Soumahoro,fr FRA,"MF,DF",Hamburger SV,de Bundesliga,21.0,2005,1.5,,0,,,,,,,,,,0,,,,Matches
2319,Sambou Soumano,sn SEN,FW,Lorient,fr Ligue 1,25.0,2001,9.0,,3,,,,,,,,,,4,,,,Matches
2320,Issa Soumaré,sn SEN,"FW,MF",Le Havre,fr Ligue 1,25.0,2000,20.8,,10,,,,,,,,,,8,,,,Matches
2321,Souza,br BRA,DF,Tottenham Hotspur,eng Premier League,19.0,2006,0.4,,0,,,,,,,,,,0,,,,Matches
2322,Vinicius Souza,br BRA,MF,Wolfsburg,de Bundesliga,26.0,1999,10.1,,17,,,,,,,,,,11,,,,Matches
2323,Djibril Sow,ch SUI,MF,Sevilla,es La Liga,29.0,1997,14.5,,15,,,,,,,,,,14,,,,Matches
2324,Djed Spence,eng ENG,"DF,MF",Tottenham Hotspur,eng Premier League,25.0,2000,17.8,,20,,,,,,,,,,9,,,,Matches
2325,Leonardo Spinazzola,it ITA,"MF,DF",Napoli,it Serie A,32.0,1993,15.0,,6,,,,,,,,,,4,,,,Matches
2326,Anton Stach,de GER,MF,Leeds United,eng Premier League,27.0,1998,18.8,,27,,,,,,,,,,12,,,,Matches
2327,Jens Stage,dk DEN,MF,Werder Bremen,de Bundesliga,29.0,1996,18.9,,24,,,,,,,,,,17,,,,Matches
2328,Benjamin Stambouli,fr FRA,MF,Metz,fr Ligue 1,35.0,1990,8.2,,14,,,,,,,,,,5,,,,Matches
2329,Nicolae Stanciu,ro ROU,MF,Genoa,it Serie A,32.0,1993,2.0,,3,,,,,,,,,,3,,,,Matches
2330,Otto Stange,de GER,DF,Hamburger SV,de Bundesliga,19.0,2007,0.2,,0,,,,,,,,,,0,,,,Matches
2331,Josip Stanišić,hr CRO,DF,Bayern Munich,de Bundesliga,25.0,2000,11.6,,9,,,,,,,,,,10,,,,Matches
2332,Carl Starfelt,se SWE,DF,Celta Vigo,es La Liga,30.0,1995,14.6,,14,,,,,,,,,,15,,,,Matches
2333,Niklas Stark,de GER,DF,Werder Bremen,de Bundesliga,30.0,1995,3.8,,4,,,,,,,,,,11,,,,Matches
2334,Orri Steinn Óskarsson,is ISL,FW,Real Sociedad,es La Liga,21.0,2004,1.9,,2,,,,,,,,,,1,,,,Matches
2335,Calvin Stengs,nl NED,"FW,MF",Pisa,it Serie A,27.0,1998,0.2,,0,,,,,,,,,,0,,,,Matches
2336,Pascal Stenzel,de GER,MF,Stuttgart,de Bundesliga,29.0,1996,1.2,,0,,,,,,,,,,2,,,,Matches
2337,Leonidas Stergiou,ch SUI,DF,Heidenheim,de Bundesliga,23.0,2002,1.2,,1,,,,,,,,,,1,,,,Matches
