0_level_0_Rk,1_level_0_Player,2_level_0_Nation,3_level_0_Pos,4_level_0_Squad,5_level_0_Comp,6_level_0_Age,7_level_0_Born,8_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,19_level_0_Matches
325,Ange-Yoan Bonny,fr FRA,FW,Inter,it Serie A,22,2003.0,6.6,5,15,6,40.0,2.27,0.91,0.33,0.83,0,0,Matches
326,Thiago Borbas,uy URU,FW,Oviedo,es La Liga,23,2002.0,0.4,0,1,0,0.0,2.81,0.0,0.0,,0,0,Matches
327,Sebastiaan Bornauw,be BEL,DF,Leeds United,eng Premier League,26,1999.0,3.4,0,0,0,,0.0,0.0,,,0,0,Matches
328,Gennaro Borrelli,it ITA,FW,Cagliari,it Serie A,25,2000.0,11.5,3,22,6,27.3,1.91,0.52,0.14,0.5,0,0,Matches
329,Olivier Boscagli,fr FRA,DF,Brighton,eng Premier League,28,1997.0,3.9,0,1,0,0.0,0.26,0.0,0.0,,0,0,Matches
330,Sebastián Boselli,uy URU,DF,Getafe,es La Liga,22,2003.0,0.1,0,1,1,100.0,8.18,8.18,0.0,0.0,0,0,Matches
331,Sven Botman,nl NED,DF,Newcastle United,eng Premier League,26,2000.0,11.8,1,8,4,50.0,0.68,0.34,0.13,0.25,0,0,Matches
332,Ayyoub Bouaddi,fr FRA,MF,Lille,fr Ligue 1,18,2007.0,17.7,0,14,4,28.6,0.79,0.23,0.0,0.0,0,0,Matches
333,Badredine Bouanani,dz ALG,MF,Nice,fr Ligue 1,21,2004.0,1.0,0,1,0,0.0,0.97,0.0,0.0,,0,0,Matches
334,Badredine Bouanani,dz ALG,MF,Stuttgart,de Bundesliga,21,2004.0,4.9,0,13,2,15.4,2.64,0.41,0.0,0.0,0,0,Matches
335,Kaïl Boudache,fr FRA,MF,Nice,fr Ligue 1,19,2006.0,2.2,1,8,2,25.0,3.56,0.89,0.13,0.5,0,0,Matches
336,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,26,1999.0,10.8,1,15,7,46.7,1.38,0.65,0.07,0.14,0,0,Matches
337,Sofiane Boufal,ma MAR,FW,Le Havre,fr Ligue 1,32,1993.0,3.4,0,4,2,50.0,1.16,0.58,0.0,0.0,0,0,Matches
338,Justin Bourgault,fr FRA,FW,Brest,fr Ligue 1,20,2005.0,0.2,0,1,0,0.0,5.63,0.0,0.0,,0,0,Matches
339,Jarrod Bowen,eng ENG,"MF,FW",West Ham United,eng Premier League,29,1996.0,26.9,8,63,23,36.5,2.34,0.86,0.11,0.3,1,1,Matches
340,Kieron Bowie,sct SCO,FW,Hellas Verona,it Serie A,23,2002.0,2.6,0,2,0,0.0,0.78,0.0,0.0,,0,0,Matches
341,Lucas Boyé,ar ARG,FW,Alavés,es La Liga,29,1996.0,15.0,5,40,12,30.0,2.66,0.8,0.1,0.33,1,1,Matches
342,Enzo Boyomo,cm CMR,DF,Osasuna,es La Liga,24,2001.0,18.2,1,3,1,33.3,0.16,0.05,0.33,1.0,0,0,Matches
343,Rosen Bozhinov,bg BUL,DF,Pisa,it Serie A,21,2005.0,2.8,0,0,0,,0.0,0.0,,,0,0,Matches
344,Domagoj Bradarić,hr CRO,MF,Hellas Verona,it Serie A,26,1999.0,17.8,0,9,5,55.6,0.5,0.28,0.0,0.0,0,0,Matches
345,Conor Bradley,nir NIR,DF,Liverpool,eng Premier League,22,2003.0,10.3,0,6,0,0.0,0.58,0.0,0.0,,0,0,Matches
